Cluster,HD ZIP III
#04,0
#07,0
#03,0.965301611
#03,1.839122581
#01,0
#03,2.193749914
#06,1.016229287
#07,0
#02,0.642560388
#06,2.763659238
#04,0
#06,1.235485549
#03,2.2506755
#01,0
#03,1.173051871
#06,2.265636795
#02,0.575967818
#04,0.939136759
#02,1.196850714
#05,0.421666432
#04,0
#01,0
#04,0
#05,1.979664093
#02,0
#05,0.663208717
#01,0
#01,2.748528471
#02,1.609503035
#04,1.140660407
#02,0
#01,0.516123624
#06,2.024673994
#01,0
#04,0
#03,1.648945311
#02,0.542625554
#02,1.58918193
#05,0.619899996
#06,1.633344039
#02,0.652779104
#02,0
#02,0.322144645
#02,0.873084678
#04,0.905043032
#01,0
#06,0.457034343
#05,0.769956712
#07,0
#02,0
#07,0
#06,0.990200938
#03,0
#03,2.231009118
#02,0
#01,0.751486858
#05,0
#06,1.665878931
#03,1.49738507
#01,0
#02,1.398712209
#07,0
#02,0.500212499
#01,1.149819229
#02,0.858385395
#07,0
#02,2.051374841
#04,0.934763336
#06,0.816180835
#04,1.625152772
#04,0.55584942
#01,0
#03,1.195101521
#05,0
#02,0
#06,1.19885653
#04,0
#01,0.346719015
#02,1.469187562
#04,1.128483988
#02,0
#01,1.505379893
#05,1.760442155
#01,0.879416071
#02,1.411593041
#05,1.643692702
#02,0.347306108
#01,0
#03,1.639703823
#02,0.728452892
#01,1.483223918
#01,0
#04,0.519568083
#06,0.77454927
#05,0.784205708
#01,0
#06,1.548949522
#04,0
#01,0
#02,0.499862389
#02,3.492294888
#01,1.174957079
#01,3.283480931
#03,1.46864169
#02,0
#03,1.739316968
#07,0
#03,1.405958675
#02,0
#03,1.623035679
#07,0
#02,0
#05,2.247633128
#01,0
#03,0.700195524
#01,0.555742362
#05,0.553583499
#06,1.773724144
#06,1.218618678
#07,0
#01,2.775126157
#03,1.894680535
#02,3.118749873
#03,1.236504345
#02,0
#03,1.23100731
#06,1.151500785
#05,0.231884459
#04,1.440440897
#01,2.065647694
#02,0.610577603
#04,1.430239906
#05,1.918409197
#03,1.07421988
#02,1.533848111
#06,0.446621175
#07,0
#03,1.649144409
#07,0
#04,0.625474199
#07,0
#01,0
#06,1.844923648
#03,1.393416883
#01,3.815042815
#04,0
#03,2.965470155
#03,2.00812552
#01,0
#01,0
#02,0
#02,2.045367377
#07,0
#05,1.661611313
#02,0.371336773
#02,0.772278075
#07,0.6300747
#02,0.378644842
#05,0.875519104
#05,1.256525712
#06,2.056048804
#05,1.711860789
#03,1.819340966
#03,0.825626429
#01,0
#07,0
#03,1.068295106
#03,2.469735322
#02,0.667581855
#05,0.77589396
#02,0
#01,0
#01,0
#03,1.558602906
#07,0
#01,0
#04,0
#01,0
#07,0
#02,0.607446515
#06,1.499937994
#06,1.768084091
#05,0
#07,0
#04,0.827976533
#01,0
#02,0
#04,0
#03,1.695169087
#03,1.166381544
#06,2.328358281
#04,1.993610079
#05,0.390288511
#01,0.79540502
#09,0
#05,0.252775937
#01,0.396439597
#07,0
#02,0
#01,0
#07,1.016882404
#01,0
#03,2.349115632
#05,0.59115981
#01,0.86850016
#02,0
#07,0
#05,1.324987992
#02,0
#03,1.977985116
#02,0
#01,0.96724966
#06,0.68418688
#02,1.984131489
#02,0.460269263
#03,1.683359858
#01,0.954632816
#01,3.19139642
#01,1.530662335
#01,1.22459501
#03,1.019250156
#01,1.412067469
#05,1.095590912
#06,2.770641306
#03,1.547457322
#05,2.011305638
#02,0
#02,0
#08,0
#04,0
#02,0.5585745
#02,1.134052099
#02,0
#03,1.659233326
#03,1.345856344
#03,2.296360463
#01,0.354335292
#02,1.487609809
#05,3.135745953
#03,1.415413309
#01,0
#02,0.616247193
#06,1.52934879
#01,1.818337471
#01,1.041664327
#03,2.133560587
#02,0.307134622
#06,2.492645138
#03,1.630405966
#03,1.717085531
#05,0.241028279
#03,0
#07,0.356801455
#01,0
#02,1.033010299
#01,0
#07,0.843101158
#04,0.383504353
#02,0.55901281
#02,0
#07,0
#01,0
#03,0.426757501
#03,1.413243346
#07,0
#05,0.440527399
#05,0.301719017
#07,0
#03,2.743997496
#05,0.829689462
#01,0
#03,2.410779397
#07,3.013427918
#01,0
#02,1.536638778
#01,0
#02,0.855352991
#08,0.46065694
#02,1.877211902
#03,0.139324144
#08,0.647020604
#04,0.884980805
#04,1.087320186
#01,0
#02,0.677963721
#01,1.471473445
#02,0.996933775
#01,0.512970658
#07,0.737350518
#02,0.654414653
#06,1.886433785
#02,0.575269634
#01,2.489607338
#02,1.624424284
#04,0.734664645
#06,1.473760408
#03,1.743728697
#04,1.421076416
#05,1.238695415
#02,1.040071526
#04,1.057749499
#03,1.524150259
#05,0
#02,0
#03,1.733796067
#07,0
#04,0.766803668
#01,1.124749992
#03,0.93854196
#04,0.316259345
#01,0
#02,0
#05,1.159913725
#02,0.53269394
#01,2.24224984
#05,2.297807142
#01,2.149895465
#04,1.303853682
#03,1.430783337
#07,0
#04,1.553173788
#04,0.465512009
#02,1.608672894
#02,1.02127783
#02,0.607706194
#01,0
#03,1.553110804
#07,0
#01,1.419561476
#07,0
#07,0
#03,1.504539898
#02,0
#02,0
#03,1.214816783
#01,0
#05,1.124600631
#02,1.330728307
#06,1.10954301
#06,2.036231221
#03,1.612004574
#01,0
#01,2.349914157
#07,1.165931932
#01,0
#05,0
#02,0.62850721
#04,0
#06,1.740466241
#02,1.100753701
#03,0.886026744
#03,0
#03,0.997669988
#07,0
#01,1.084796473
#02,0.744153828
#06,1.04611574
#06,2.152675004
#01,1.482444953
#07,0
#07,0
#02,1.45875792
#05,1.170428294
#05,0.390989565
#01,2.343864739
#05,0
#01,0
#07,1.22569946
#04,0.856888316
#01,0
#04,0
#04,1.187119033
#01,0
#02,1.329329896
#04,0.509674373
#02,0.44634261
#06,1.115183156
#01,0
#02,0
#01,0.640198165
#01,0
#03,1.434742481
#06,1.072707622
#02,1.505654736
#02,0.59079158
#08,0
#06,1.864075068
#03,1.6830475
#07,0
#04,0
#05,0.954439411
#06,1.039257971
#04,0
#03,1.610560572
#02,0
#03,3.166269359
#01,0
#07,0.940443155
#06,0.654012462
#05,0.998559466
#01,1.388532865
#07,0
#01,0
#04,0.271934588
#01,0.518938365
#01,1.056523605
#02,1.329527686
#05,0.144708801
#01,2.12521049
#06,1.466460958
#07,0.65475541
#04,0
#01,1.772204956
#01,0
#07,0
#03,0.969832055
#03,2.260164255
#08,0.885602902
#01,0.942352341
#03,2.098751043
#06,0
#04,1.424434864
#07,0
#02,0
#01,0
#03,1.490173242
#06,1.925850714
#02,0.914530658
#06,1.048755924
#03,2.26416438
#06,2.162542866
#02,1.425642257
#03,0.972802339
#02,0.38587761
#06,0.946625417
#03,4.339658696
#02,0
#03,1.749077934
#07,0
#05,3.414536591
#07,0.943306426
#02,0.957041015
#02,0.855241445
#01,0
#06,1.77733154
#02,1.519359985
#02,1.025204555
#02,1.474358273
#03,0.762320556
#08,0.494156216
#04,0
#01,0
#02,1.025928465
#05,1.181212431
#06,1.435334852
#02,0
#03,1.704326968
#02,0.599001641
#03,2.193691968
#05,1.338152282
#02,0.559671581
#05,1.16678517
#02,0
#02,0
#03,2.096459044
#04,1.988178969
#02,0.55080223
#02,0.556718175
#02,0.893800181
#03,1.973103541
#05,1.697235725
#09,1.172212002
#01,0
#04,0
#01,1.954433085
#03,2.112628185
#02,0
#02,0.438816978
#06,1.60901283
#07,1.289885625
#01,1.45270384
#01,0
#10,0
#04,0.85179203
#09,0.771724373
#07,0
#10,0
#02,0.269085926
#03,2.036460603
#06,1.547474442
#07,0
#06,1.261658882
#05,1.429247685
#05,0.871962755
#03,2.339687212
#06,1.45044035
#02,0
#06,2.526860797
#05,2.172734535
#02,0.904397725
#05,1.379456384
#03,0.400649879
#07,0
#02,0
#04,0
#02,0.488961457
#02,0.779516182
#01,0
#03,1.724042376
#08,0
#05,1.926424741
#05,0.154165433
#04,0
#03,0.562479949
#01,0
#01,2.716167881
#04,0.872288832
#02,1.91845902
#01,0
#01,2.814616407
#01,0
#02,0
#01,1.769266236
#02,0
#02,0
#08,0.996406735
#01,3.041255718
#07,0
#04,1.453717967
#07,0
#01,0
#04,1.118333269
#09,0.708104936
#01,1.879175023
#03,2.85942701
#05,1.693110467
#05,0.921823774
#01,0.86155323
#01,0
#02,0
#01,0.95594482
#03,1.792673787
#01,0
#02,0.463100456
#07,0
#03,1.843158765
#01,0
#02,1.06538788
#06,1.512043624
#01,1.625291591
#07,0
#01,0
#03,1.359387355
#04,0
#05,0
#05,0.885728262
#01,0
#01,1.444227299
#01,0
#01,0
#07,0
#01,0
#01,0.19936398
#02,0.508585103
#01,0
#07,0
#03,1.391627868
#04,0.749738932
#01,0
#02,0.511683663
#01,0
#04,0.322000246
#01,0
#08,1.121990524
#01,2.208600694
#05,4.876947353
#04,0.576200928
#08,0
#02,1.446899387
#06,1.584321588
#07,0
#03,0.591704087
#04,0
#03,1.122126853
#02,1.165931932
#02,2.196438427
#01,0
#01,2.125529631
#03,1.714256688
#01,0
#04,0.862614532
#01,0
#07,0
#05,0.258358378
#03,1.329069581
#03,1.383699087
#02,1.491357651
#05,0.497942419
#03,2.185988688
#03,2.099878943
#02,0.913193532
#07,0
#03,0.510038512
#01,0
#03,2.140897691
#05,0.950361336
#03,2.16647324
#03,0.870178386
#02,0
#03,0.586650569
#07,0
#01,0
#02,2.053055831
#02,1.477419217
#04,0
#01,0
#05,0.428316021
#05,0
#03,0.882775316
#05,1.836410269
#07,0.591037015
#02,0
#03,3.053085734
#01,0
#09,0.76916175
#05,2.354962837
#02,0
#01,0
#01,0
#05,2.168126461
#05,1.576592667
#03,2.230943932
#05,0.352767914
#02,0
#01,0
#01,1.219060546
#03,1.641957866
#01,1.504994196
#01,0.712796169
#03,1.264175132
#04,0
#02,1.162955928
#02,0.52466199
#06,1.667599229
#06,1.532811219
#05,1.817457715
#01,0
#07,0
#06,0.635337762
#10,1.259845015
#05,1.562875377
#04,0
#04,1.053298226
#02,1.569059323
#03,1.960953301
#06,2.054523333
#01,0.721898146
#06,0.488830782
#07,0.708155058
#05,0.623514055
#06,1.663899236
#05,1.451540788
#01,0
#05,1.501986305
#02,0
#04,0.982297998
#02,0
#03,1.442613981
#01,0
#02,1.422467145
#02,1.250543462
#03,1.433578723
#03,0.889252271
#07,1.005440717
#09,0.138401198
#05,0.397318556
#02,0.381667405
#01,0
#03,1.917617006
#08,0
#05,1.244346047
#03,2.726065242
#02,1.108890007
#06,1.324094444
#02,0.414437252
#06,1.727763101
#01,0
#01,0
#01,1.524150259
#02,0.390713894
#07,0
#07,0.648795979
#02,2.181681597
#02,0
#03,2.429114819
#06,0.686975428
#06,1.23902192
#01,0
#06,1.334543886
#07,0
#01,0
#03,2.111467868
#02,0.512050709
#05,1.177490279
#06,2.613894754
#02,2.027839477
#02,0.285937298
#02,1.566089237
#05,1.138329911
#01,0.679991271
#04,0.580193257
#05,1.234611663
#02,0.477800371
#01,0.562544522
#02,0
#02,0
#01,1.358928018
#08,0.525204621
#03,3.527844724
