Cluster,Ray scUPlcmUP
#04,5
#07,0
#03,1.456428886
#03,0.607518698
#01,0
#03,1.431827507
#06,0.328441734
#07,0.770377715
#02,0.905162698
#06,2.010010626
#04,0.752689946
#06,2.51206833
#03,2.233554918
#01,0.894609441
#03,1.159015639
#06,0.65935624
#02,1.727903455
#04,0.895050395
#02,0
#05,1.238080568
#04,2.700230269
#01,1.794065968
#04,1.422007601
#05,1.490666031
#02,0.528353449
#05,1.032591898
#01,0
#01,0
#02,1.073002024
#04,2.281320814
#02,0.471342273
#01,0.516123624
#06,2.324711279
#01,3.102295575
#04,1.404601507
#03,1.732845193
#02,2.808058122
#02,1.173301137
#05,3.740911669
#06,0.698692062
#02,1.245169719
#02,0.508223057
#02,1.551757336
#02,1.04269383
#04,0.905043032
#01,1.156073756
#06,0.914068685
#05,0.435745188
#07,2.163617213
#02,1.852384859
#07,0
#06,0.920151773
#03,3.235173968
#03,3.628462331
#02,0
#01,1.502973717
#05,1.926629156
#06,0.396150944
#03,1.589398132
#01,0
#02,0
#07,0
#02,0.500212499
#01,0.828395284
#02,1.316742049
#07,0
#02,1.501731839
#04,0
#06,0.903691438
#04,4.681563453
#04,2.689267758
#01,1.708219775
#03,1.980931757
#05,1.010318762
#02,0.409814638
#06,1.153686021
#04,0
#01,0
#02,2.057842182
#04,0.516855396
#02,0.569745292
#01,1.505379893
#05,1.034116872
#01,0.879416071
#02,0
#05,0.742066177
#02,0.86120006
#01,0
#03,1.99993905
#02,1.44527519
#01,1.882905955
#01,1.770438171
#04,0.755728457
#06,0.892279926
#05,1.092195946
#01,0
#06,0.824088415
#04,0.807045895
#01,0
#02,1.664800538
#02,2.111021984
#01,0
#01,0
#03,0
#02,0
#03,2.020777111
#07,1.026689878
#03,1.502204099
#02,1.262245638
#03,2.495558233
#07,0.695276782
#02,1.000721889
#05,2.342805931
#01,1.808644079
#03,0.707665859
#01,0.555742362
#05,1.107166998
#06,1.242466581
#06,0.198457535
#07,1.4287038
#01,0
#03,3.42312523
#02,0.572954688
#03,1.296118536
#02,0
#03,3.76813955
#06,2.159025376
#05,0
#04,0.895012898
#01,2.065647694
#02,0
#04,1.430239906
#05,0.5890793
#03,1.90459265
#02,5
#06,0.164719655
#07,0.852045393
#03,0.472865041
#07,0
#04,0.654144048
#07,0
#01,0
#06,0.845766683
#03,1.118649073
#01,0
#04,0.873922994
#03,1.309247429
#03,1.219688178
#01,0
#01,1.888578717
#02,0.828465199
#02,0.772489819
#07,0
#05,0
#02,0.185668387
#02,5
#07,0
#02,0
#05,0
#05,0.918459327
#06,1.879128373
#05,0
#03,1.978753889
#03,1.281393592
#01,0
#07,0
#03,0.667404443
#03,0.933291745
#02,0.667581855
#05,1.428436434
#02,0
#01,0
#01,1.066324759
#03,0.497858827
#07,0
#01,3.548595247
#04,4.314221732
#01,1.219104226
#07,0
#02,2.577043416
#06,0.666301294
#06,1.625102914
#05,2.364857244
#07,0.953324539
#04,0
#01,2.335849739
#02,0
#04,1.324095932
#03,1.012762701
#03,0.555161529
#06,0.272269159
#04,4.887208426
#05,0.624906513
#01,0
#09,0.344555738
#05,1.7962595
#01,0.396439597
#07,0
#02,0.456305518
#01,0
#07,0
#01,0
#03,3.137993075
#05,0.687974923
#01,5
#02,1.1704061
#07,0
#05,1.08452085
#02,1.385571743
#03,3.257600832
#02,1.191469377
#01,0.96724966
#06,1.368373759
#02,0
#02,0.920538527
#03,1.526082187
#01,0
#01,2.754956562
#01,1.694694316
#01,0
#03,1.857191858
#01,1.412067469
#05,0.328441734
#06,2.478499787
#03,1.637526752
#05,0.346384429
#02,0.93804668
#02,2.04557274
#08,5
#04,1.532377547
#02,1.518809267
#02,0
#02,0.429214601
#03,1.289090361
#03,2.357197345
#03,3.76239445
#01,1.417341168
#02,1.074214332
#05,3.550123544
#03,2.525432484
#01,0
#02,0.616247193
#06,0.929748212
#01,0
#01,0.520832163
#03,2.109993765
#02,0.867356382
#06,1.382391019
#03,0.956655216
#03,1.237240287
#05,0.376625438
#03,0.387441371
#07,0.356801455
#01,1.104838487
#02,2.614258538
#01,2.512679507
#07,0.298090183
#04,0.383504353
#02,0
#02,0
#07,0
#01,1.342610672
#03,3.524109804
#03,2.365911071
#07,1.606712809
#05,0.324506319
#05,1.516468003
#07,0.579013234
#03,1.603133102
#05,0.473684457
#01,2.475978553
#03,2.288155688
#07,0
#01,0
#02,0
#01,2.489607338
#02,1.514270358
#08,5
#02,1.026943944
#03,5
#08,5
#04,0.50931076
#04,0
#01,0
#02,1.137346162
#01,0
#02,0
#01,0.512970658
#07,0
#02,0.593750518
#06,1.25906274
#02,2.289869941
#01,1.244803669
#02,2.648075552
#04,5
#06,0.915825321
#03,3.42453313
#04,0
#05,0.820980429
#02,4.91309831
#04,3.8075548
#03,0
#05,0.928965519
#02,1.461148002
#03,2.525184655
#07,1.298572698
#04,0.766803668
#01,2.249499983
#03,3.379506473
#04,0.63251869
#01,0
#02,1.227713204
#05,0
#02,0.53269394
#01,0
#05,0.580029562
#01,1.333946071
#04,1.73936235
#03,1.146601779
#07,0
#04,2.125437668
#04,0.465512009
#02,1.608672894
#02,1.660023179
#02,2.249394869
#01,0
#03,1.488339032
#07,0
#01,0.877760689
#07,0
#07,0
#03,2.130208134
#02,0.631475744
#02,1.128207792
#03,1.669158683
#01,0.995691301
#05,1.809447371
#02,0.443576102
#06,0.708734377
#06,0.94177448
#03,2.229659684
#01,1.365853238
#01,0
#07,0
#01,0.930394533
#05,0.583284251
#02,1.61303466
#04,1.249966954
#06,0.821901298
#02,1.100753701
#03,2.967880481
#03,4.55714639
#03,2.962869065
#07,0
#01,0
#02,0.419534341
#06,1.941068967
#06,1.315644404
#01,1.482444953
#07,0
#07,0
#02,2.83904763
#05,0.679349552
#05,1.256667701
#01,0
#05,0
#01,0.505524226
#07,0
#04,1.285332473
#01,5
#04,0
#04,2.247174796
#01,5
#02,2.507488497
#04,1.851033609
#02,0
#06,1.39537359
#01,0
#02,2.281320814
#01,0.47594785
#01,0.932885804
#03,1.511034393
#06,1.227918899
#02,0.62454649
#02,1.00873481
#08,5
#06,1.352100356
#03,0.792726562
#07,0
#04,1.907575246
#05,0.290794738
#06,0.405120349
#04,1.160506298
#03,2.691281355
#02,0.443576102
#03,2.515299649
#01,1.373684229
#07,0
#06,0.162667967
#05,0
#01,0
#07,0
#01,0.612155464
#04,0.543869176
#01,0.518938365
#01,1.056523605
#02,0.370336585
#05,3.427049271
#01,0.805658269
#06,0.511928301
#07,0
#04,1.404601507
#01,0
#01,0
#07,2.184629194
#03,1.583724579
#03,0.984435097
#08,4.041291587
#01,0.942352341
#03,3.44209637
#06,0.794730975
#04,0
#07,0
#02,0.51463501
#01,0
#03,4.524875262
#06,0.172364047
#02,1.057098384
#06,0.369621946
#03,1.96475019
#06,0.462202607
#02,0.643499324
#03,1.547820167
#02,1.326956271
#06,0.476213488
#03,1.221672739
#02,1.527690517
#03,1.752110693
#07,0
#05,1.44436104
#07,0.471653213
#02,1.659742365
#02,5
#01,1.325400287
#06,1.431228475
#02,0
#02,0.512602278
#02,2.628040615
#03,3.113198664
#08,4.980613674
#04,0
#01,1.184041658
#02,1.025928465
#05,1.879836556
#06,1.24458471
#02,1.291933355
#03,2.169667656
#02,0
#03,2.863985523
#05,1.248711364
#02,0
#05,0.675269711
#02,0
#02,1.920831753
#03,1.653006296
#04,0
#02,2.472771771
#02,0.75389698
#02,2.022126778
#03,0.817518088
#05,0.808316193
#09,1.146862107
#01,1.410544518
#04,1.926424741
#01,0
#03,1.103390421
#02,1.126869044
#02,0.877633957
#06,0.500740997
#07,0
#01,0.72635192
#01,1.503278703
#10,2.136356336
#04,1.606092235
#09,0.811926158
#07,0
#10,1.033595969
#02,0.538171852
#03,1.541284429
#06,1.032843842
#07,0
#06,0.172570469
#05,0.862976708
#05,0.413659538
#03,2.670014112
#06,2.280603595
#02,1.36654993
#06,1.21375213
#05,3.677750888
#02,1.064612298
#05,0.612419246
#03,1.328714403
#07,0
#02,0.980814549
#04,0.808903709
#02,2.171632511
#02,1.338748407
#01,0.887427213
#03,2.31149356
#08,5
#05,0
#05,2.775686578
#04,0
#03,0.843719924
#01,0
#01,0.197952979
#04,2.284327587
#02,3.591676391
#01,1.156073756
#01,0
#01,0.986486859
#02,0
#01,0.471497691
#02,1.6301372
#02,0.391033544
#08,5
#01,1.520627859
#07,0
#04,2.907435935
#07,1.726292385
#01,0
#04,0
#09,0.299147936
#01,0.823605035
#03,2.888454598
#05,0.929262434
#05,0.257111888
#01,0
#01,3.519877185
#02,2.749986122
#01,2.481862966
#03,1.432921117
#01,0
#02,2.665517879
#07,0
#03,3.679096001
#01,0
#02,5
#06,2.781041716
#01,0
#07,0
#01,0.773337984
#03,1.338091574
#04,0
#05,3.376111987
#05,0.718065453
#01,0.401885495
#01,5
#01,0
#01,2.607186042
#07,0
#01,0
#01,0.797455921
#02,0.508585103
#01,2.22650853
#07,0
#03,4.157374234
#04,0
#01,1.312479031
#02,1.400320658
#01,1.929408032
#04,0
#01,1.231205444
#08,5
#01,0.928907689
#05,1.120223274
#04,1.152401856
#08,5
#02,0.381768993
#06,0.98593987
#07,0
#03,5
#04,1.048780226
#03,2.537315691
#02,3.335862036
#02,0
#01,0
#01,2.768756887
#03,1.594496717
#01,0
#04,0
#01,0
#07,0.87790305
#05,0.775075134
#03,2.539853407
#03,1.597524007
#02,1.037368704
#05,0.497942419
#03,1.254661543
#03,0.899588961
#02,0.913193532
#07,0
#03,2.827150288
#01,0
#03,0.939653351
#05,1.996415412
#03,2.036834013
#03,1.854846456
#02,0.605377163
#03,0.586650569
#07,1.301077693
#01,0
#02,0.949745856
#02,5
#04,0
#01,3.312221843
#05,1.713264086
#05,1.386270141
#03,0.778897888
#05,3.386860866
#07,0
#02,0.704275841
#03,0.80541317
#01,1.725438006
#09,0.826150541
#05,2.062636214
#02,1.696450586
#01,0.809835912
#01,0
#05,0.419288761
#05,0
#03,0.772406829
#05,0.705535827
#02,0.465815235
#01,2.298630279
#01,1.219060546
#03,3.346382456
#01,1.504994196
#01,0.712796169
#03,1.968308086
#04,1.153802813
#02,2.238013991
#02,0.52466199
#06,2.230023561
#06,0.79056866
#05,0.405690893
#01,2.534144363
#07,0.910354654
#06,1.982196161
#10,0
#05,1.275980653
#04,0
#04,2.708896269
#02,4.831098922
#03,3.918653198
#06,0.93189003
#01,1.443796292
#06,1.744537897
#07,0
#05,0
#06,0.422966797
#05,2.80532544
#01,1.463344795
