Cluster,Fiber
Ptr01,0.176384537
Ptr01,0.193054261
Ptr01,0.24901162
Ptr01,0.328543535
Ptr01,0.200135049
Ptr01,0.236764032
Ptr01,0.184170203
Ptr01,0.313074554
Ptr01,0.313060584
Ptr01,0.221360959
Ptr01,0.32367518
Ptr01,0.373620739
Ptr01,0.346810426
Ptr01,0.317230806
Ptr01,0.19986857
Ptr01,0.146591772
Ptr01,0.186146451
Ptr01,0.292290167
Ptr01,0.201510231
Ptr01,0.380107695
Ptr01,0.256488494
Ptr01,0.217277806
Ptr01,0.172274936
Ptr01,0.222233465
Ptr01,0.282394062
Ptr01,0.43376836
Ptr01,0.308207411
Ptr01,0.106803418
Ptr01,0.19725931
Ptr01,0.236042118
Ptr01,0.263581174
Ptr01,0.315142085
Ptr01,0.259912222
Ptr01,0.369527164
Ptr01,0.210042596
Ptr01,0.16412722
Ptr01,0.347863621
Ptr01,0.291967629
Ptr01,0.376928831
Ptr01,0.198496638
Ptr01,0.25887831
Ptr01,0.294619247
Ptr01,0.223241528
Ptr01,0.278580659
Ptr01,0.2736244
Ptr01,0.16739502
Ptr01,0.165623327
Ptr01,0.294148469
Ptr01,0.273953957
Ptr01,0.279749806
Ptr01,0.298399241
Ptr01,0.197230524
Ptr01,0.258403258
Ptr01,0.164543208
Ptr01,0.099499902
Ptr01,0.305875636
Ptr01,0.16365892
Ptr01,0.118108245
Ptr01,0.17619837
Ptr01,0.300485636
Ptr01,0.261589082
Ptr01,0.197285487
Ptr01,0.290109281
Ptr01,0.13274387
Ptr01,0.157241526
Ptr01,0.278761551
Ptr01,0.225315708
Ptr01,0.17480036
Ptr01,0.256795588
Ptr01,0.200571008
Ptr01,0.373095935
Ptr01,0.22188107
Ptr01,0.172216661
Ptr01,0.193546844
Ptr01,0.290960879
Ptr01,0.300094106
Ptr01,0.305307755
Ptr01,0.26651177
Ptr01,0.283198567
Ptr01,0.277220204
Ptr01,0.286392426
Ptr01,0.176507674
Ptr01,0.181509303
Ptr01,0.283859572
Ptr01,0.310606893
Ptr01,0.219556494
Ptr01,0.324460663
Ptr01,0.211954531
Ptr01,0.234944645
Ptr01,0.254856107
Ptr01,0.157513261
Ptr01,0.378307811
Ptr01,0.208981715
Ptr01,0.290517778
Ptr01,0.280586695
Ptr01,0.214487845
Ptr01,0.319554886
Ptr01,0.359894053
Ptr01,0.179424929
Ptr01,0.262215713
Ptr01,0.159392861
Ptr01,0.382683861
Ptr01,0.270829699
Ptr01,0.15033481
Ptr01,0.175974163
Ptr01,0.322403292
Ptr01,0.226423236
Ptr01,0.3476168
Ptr01,0.307233516
Ptr01,0.135417023
Ptr01,0.185840204
Ptr01,0.286771541
Ptr01,0.271512201
Ptr01,0.39434904
Ptr01,0.316394035
Ptr01,0.241506111
Ptr01,0.159371456
Ptr01,0.178662336
Ptr01,0.31337582
Ptr01,0.278839601
Ptr01,0.286596184
Ptr01,0.107902226
Ptr01,0.287261603
Ptr01,0.198000212
Ptr01,0.205608414
Ptr01,0.256560421
Ptr01,0.333922469
Ptr01,0.27760036
Ptr01,0.312431982
Ptr01,0.209958663
Ptr01,0.254453624
Ptr01,0.230221072
Ptr01,0.201885113
Ptr01,0.221897704
Ptr01,0.345135259
Ptr01,0.379751685
Ptr01,0.133645505
Ptr01,0.226354547
Ptr01,0.166543649
Ptr01,0.386448393
Ptr01,0.192163575
Ptr01,0.15858709
Ptr01,0.171309727
Ptr01,0.201557493
Ptr01,0.273805432
Ptr01,0.331274317
Ptr01,0.181208626
Ptr01,0.286477951
Ptr01,0.251935303
Ptr01,0.333302631
Ptr01,0.193139176
Ptr01,0.252340546
Ptr01,0.334644029
Ptr01,0.173307106
Ptr01,0.368298671
Ptr01,0.316148253
Ptr01,0.123956021
Ptr01,0.263389805
Ptr01,0.191453955
Ptr01,0.259759398
Ptr01,0.249277588
Ptr01,0.202874523
Ptr01,0.331317553
Ptr01,0.24681561
Ptr01,0.256215607
Ptr01,0.235834942
Ptr01,0.231353593
Ptr01,0.287300515
Ptr01,0.283991313
Ptr01,0.189536746
Ptr01,0.19786518
Ptr01,0.191416978
Ptr01,0.254340921
Ptr01,0.150248065
Ptr01,0.364536965
Ptr01,0.178360176
Ptr01,0.223673561
Ptr01,0.259345869
Ptr01,0.25090515
Ptr01,0.262978502
Ptr01,0.160943349
Ptr01,0.365212509
Ptr01,0.290369955
Ptr01,0.189730357
Ptr01,0.228159109
Ptr01,0.318213055
Ptr01,0.203536706
Ptr01,0.20421276
Ptr01,0.282737509
Ptr01,0.291418633
Ptr01,0.419605437
Ptr01,0.159598491
Ptr01,0.291578349
Ptr01,0.27845966
Ptr01,0.220288161
Ptr01,0.355731492
Ptr01,0.225353884
Ptr01,0.31601396
Ptr01,0.206138705
Ptr01,0.338442603
Ptr01,0.361906955
Ptr01,0.267274786
Ptr01,0.194533332
Ptr01,0.211554494
Ptr01,0.337783613
Ptr01,0.201252057
Ptr01,0.313212383
Ptr01,0.385233592
Ptr01,0.142329483
Ptr01,0.270740415
Ptr01,0.261846818
Ptr01,0.239937218
Ptr01,0.336378808
Ptr01,0.379987642
Ptr01,0.300221617
Ptr01,0.241081359
Ptr01,0.367738736
Ptr01,0.184108565
Ptr01,0.188345177
Ptr01,0.236581139
Ptr01,0.284377442
Ptr01,0.284604779
Ptr01,0.189585375
Ptr01,0.193415093
Ptr01,0.265410136
Ptr01,0.408364661
Ptr01,0.180705612
Ptr01,0.40186459
Ptr01,0.242104245
Ptr01,0.360263963
Ptr01,0.24737247
Ptr01,0.249597349
Ptr01,0.222586659
Ptr01,0.193188972
Ptr01,0.295421777
Ptr01,0.203714167
Ptr01,0.28956346
Ptr01,0.336521169
Ptr01,0.194692224
Ptr01,0.293516512
Ptr01,0.299239626
Ptr01,0.262359038
Ptr01,0.291636127
Ptr01,0.344618919
Ptr01,0.277515135
Ptr01,0.429198289
Ptr01,0.300009159
Ptr01,0.271234735
Ptr01,0.259314658
Ptr01,0.172203546
Ptr01,0.290146667
Ptr01,0.276541132
Ptr01,0.373381661
Ptr01,0.324621901
Ptr01,0.327153897
Ptr01,0.212475266
Ptr01,0.393070412
Ptr01,0.233785097
Ptr01,0.222607196
Ptr01,0.229767842
Ptr01,0.199366402
Ptr01,0.312795369
Ptr01,0.340395624
Ptr01,0.202820348
Ptr01,0.237612709
Ptr01,0.244551574
Ptr01,0.180696353
Ptr01,0.266563868
Ptr01,0.302290904
Ptr01,0.356434739
Ptr01,0.230498315
Ptr01,0.138450798
Ptr01,0.262452261
Ptr01,0.279322969
Ptr01,0.242155892
Ptr01,0.250532044
Ptr01,0.329196658
Ptr01,0.364216841
Ptr01,0.206676002
Ptr01,0.272564095
Ptr01,0.253738159
Ptr01,0.289024023
Ptr01,0.314303795
Ptr01,0.22501305
Ptr01,0.2860541
Ptr01,0.366025787
Ptr01,0.333499427
Ptr01,0.201475535
Ptr01,0.225212622
Ptr01,0.327760257
Ptr01,0.170833891
Ptr01,0.225443295
Ptr01,0.378169114
Ptr01,0.299062877
Ptr01,0.359084107
Ptr01,0.360534827
Ptr01,0.329918886
Ptr01,0.259255987
Ptr01,0.211006801
Ptr01,0.281688223
Ptr01,0.462697129
Ptr01,0.276736975
Ptr01,0.288434666
Ptr01,0.170662272
Ptr01,0.28316469
Ptr01,0.244056218
Ptr01,0.211380736
Ptr01,0.213102329
Ptr01,0.198778479
Ptr01,0.395412974
Ptr01,0.340827878
Ptr01,0.116312621
Ptr01,0.20653123
Ptr01,0.230668474
Ptr01,0.202472504
Ptr01,0.190425828
Ptr01,0.121112368
Ptr01,0.224221423
Ptr01,0.237416641
Ptr01,0.266270693
Ptr01,0.226704094
Ptr01,0.223428909
Ptr01,0.236331005
Ptr01,0.312322567
Ptr01,0.319110732
Ptr01,0.219705591
Ptr01,0.255160522
Ptr01,0.201085894
Ptr01,0.209177663
Ptr01,0.218952787
Ptr01,0.218802319
Ptr01,0.238655214
Ptr01,0.348330378
Ptr01,0.207876792
Ptr01,0.31661727
Ptr01,0.353820183
Ptr01,0.22235921
Ptr01,0.281086218
Ptr01,0.236435928
Ptr01,0.212684632
Ptr01,0.324567665
Ptr01,0.204649184
Ptr01,0.333027015
Ptr01,0.239445139
Ptr01,0.24638985
Ptr01,0.270903002
Ptr01,0.204041568
Ptr01,0.147514111
Ptr01,0.334962244
Ptr01,0.162002232
Ptr01,0.36326727
Ptr01,0.403879785
Ptr01,0.284511223
Ptr01,0.203586202
Ptr01,0.165510716
Ptr01,0.386075895
Ptr01,0.286544368
Ptr01,0.18546542
Ptr01,0.314740938
Ptr01,0.296715223
Ptr01,0.24261377
Ptr01,0.249534926
Ptr01,0.377205666
Ptr01,0.281412173
Ptr01,0.209976582
Ptr01,0.265856606
Ptr01,0.33154357
Ptr01,0.3126221
Ptr01,0.2345156
Ptr01,0.140414001
Ptr01,0.330662081
Ptr01,0.273275381
Ptr01,0.292622207
Ptr01,0.212761916
Ptr01,0.183759589
Ptr01,0.165806375
Ptr01,0.212943917
Ptr01,0.15904563
Ptr01,0.200502989
Ptr01,0.195321252
Ptr01,0.225468292
Ptr01,0.221290491
Ptr01,0.34504748
Ptr01,0.292740312
Ptr01,0.22903475
Ptr01,0.208662375
Ptr01,0.287019081
Ptr01,0.407671145
Ptr01,0.388157417
Ptr01,0.330515338
Ptr01,0.376889558
Ptr01,0.270902917
Ptr01,0.236481916
Ptr01,0.256086483
Ptr01,0.343661159
Ptr01,0.242247475
Ptr01,0.203927195
Ptr01,0.359650761
Ptr01,0.283740569
Ptr01,0.29737013
Ptr01,0.289003019
Ptr01,0.285040983
Ptr01,0.32002245
Ptr01,0.141912826
Ptr01,0.227320395
Ptr01,0.217926819
Ptr01,0.260174003
Ptr01,0.290970147
Ptr01,0.358485428
Ptr01,0.173526535
Ptr01,0.4396332
Ptr01,0.258617475
Ptr01,0.240467671
Ptr01,0.187789794
Ptr01,0.330292085
Ptr01,0.27221798
Ptr01,0.370629379
Ptr01,0.245479136
Ptr01,0.269635949
Ptr01,0.234648341
Ptr01,0.254800844
Ptr01,0.147904896
Ptr01,0.319128094
Ptr01,0.346929032
Ptr01,0.288185899
Ptr01,0.22116575
Ptr01,0.182403959
Ptr01,0.217053198
Ptr01,0.225296462
Ptr01,0.205402182
Ptr01,0.185835549
Ptr01,0.185796362
Ptr01,0.25070607
Ptr01,0.356454146
Ptr01,0.323387242
Ptr01,0.273046502
Ptr01,0.237872199
Ptr01,0.224188287
Ptr01,0.383693893
Ptr01,0.294626196
Ptr01,0.267464313
Ptr01,0.14183999
Ptr01,0.333582268
Ptr01,0.271607121
Ptr01,0.232349296
Ptr01,0.369544437
Ptr01,0.112263127
Ptr01,0.167769482
Ptr01,0.447813723
Ptr01,0.208971157
Ptr01,0.241905246
Ptr01,0.238906849
Ptr01,0.211952014
Ptr01,0.252184391
Ptr01,0.255720078
Ptr01,0.35788565
Ptr01,0.351549563
Ptr01,0.314645561
Ptr01,0.20793142
Ptr01,0.209144635
Ptr01,0.358715145
Ptr01,0.279409362
Ptr01,0.235429588
Ptr01,0.324981708
Ptr01,0.326664494
Ptr01,0.194271062
Ptr01,0.317391248
Ptr01,0.331158432
Ptr01,0.339824493
Ptr01,0.216071449
Ptr01,0.352063613
Ptr01,0.232283337
Ptr01,0.204423994
Ptr01,0.400623024
Ptr01,0.258104572
Ptr01,0.275836786
Ptr01,0.278265214
Ptr01,0.336461682
Ptr01,0.207781231
Ptr01,0.441888368
Ptr01,0.284477476
Ptr01,0.268867908
Ptr01,0.269641513
Ptr01,0.331322956
Ptr01,0.31855775
Ptr01,0.167521302
Ptr01,0.36155681
Ptr01,0.294267742
Ptr01,0.187322319
Ptr01,0.311495041
Ptr01,0.149655432
Ptr01,0.145401978
Ptr01,0.19464615
Ptr01,0.245386007
Ptr01,0.259070822
Ptr01,0.143023026
Ptr01,0.283879525
Ptr01,0.336723191
Ptr01,0.383564758
Ptr01,0.1932674
Ptr01,0.353278942
Ptr01,0.220709598
Ptr01,0.365336581
Ptr01,0.180699498
Ptr01,0.288552031
Ptr01,0.314655429
Ptr01,0.232576165
Ptr01,0.32684671
Ptr01,0.162779639
Ptr01,0.360602702
Ptr01,0.251008738
Ptr01,0.181760139
Ptr01,0.207429776
Ptr01,0.311608897
Ptr01,0.39062505
Ptr01,0.305695602
Ptr01,0.219033272
Ptr01,0.187684855
