Cluster,Ray
Ptr01,0.115632547
Ptr01,0.14543657
Ptr01,0.161271256
Ptr01,0.216801685
Ptr01,0.106238573
Ptr01,0.164441374
Ptr01,0.121606489
Ptr01,0.196936313
Ptr01,0.23677604
Ptr01,0.141033049
Ptr01,0.218287236
Ptr01,0.213550226
Ptr01,0.23620088
Ptr01,0.205290552
Ptr01,0.102213018
Ptr01,0.109217711
Ptr01,0.127024245
Ptr01,0.158316312
Ptr01,0.121637973
Ptr01,0.215813226
Ptr01,0.191129935
Ptr01,0.181283237
Ptr01,0.201546789
Ptr01,0.155356608
Ptr01,0.123613397
Ptr01,0.188881264
Ptr01,0.210631094
Ptr01,0.075843448
Ptr01,0.132172449
Ptr01,0.375129193
Ptr01,0.149779972
Ptr01,0.223868401
Ptr01,0.175072634
Ptr01,0.270060605
Ptr01,0.14832402
Ptr01,0.124146589
Ptr01,0.228344552
Ptr01,0.249727604
Ptr01,0.190340587
Ptr01,0.123897157
Ptr01,0.439730788
Ptr01,0.194320836
Ptr01,0.174502759
Ptr01,0.22042683
Ptr01,0.180906956
Ptr01,0.102259842
Ptr01,0.161889412
Ptr01,0.217531603
Ptr01,0.163737633
Ptr01,0.354685182
Ptr01,0.185282041
Ptr01,0.144863031
Ptr01,0.170751284
Ptr01,0.111353333
Ptr01,0.140229076
Ptr01,0.229703483
Ptr01,0.114062229
Ptr01,0.082413128
Ptr01,0.108136563
Ptr01,0.164911319
Ptr01,0.130065279
Ptr01,0.092550952
Ptr01,0.235797975
Ptr01,0.089854732
Ptr01,0.113978866
Ptr01,0.203353757
Ptr01,0.150986964
Ptr01,0.144145054
Ptr01,0.176165577
Ptr01,0.124725769
Ptr01,0.13669978
Ptr01,0.142164995
Ptr01,0.107931767
Ptr01,0.155392606
Ptr01,0.208628432
Ptr01,0.407380451
Ptr01,0.449922472
Ptr01,0.214225764
Ptr01,0.185173555
Ptr01,0.152219705
Ptr01,0.165027177
Ptr01,0.120560432
Ptr01,0.120895394
Ptr01,0.173401273
Ptr01,0.190910532
Ptr01,0.152009009
Ptr01,0.196091871
Ptr01,0.168001034
Ptr01,0.123907181
Ptr01,0.154094136
Ptr01,0.159506404
Ptr01,0.216707814
Ptr01,0.148553512
Ptr01,0.289549785
Ptr01,0.211868547
Ptr01,0.100865049
Ptr01,0.227913933
Ptr01,0.154334161
Ptr01,0.114745458
Ptr01,0.208598164
Ptr01,0.097622971
Ptr01,0.186772599
Ptr01,0.172825129
Ptr01,0.128429473
Ptr01,0.144229372
Ptr01,0.182416004
Ptr01,0.164924083
Ptr01,0.205912817
Ptr01,0.180231123
Ptr01,0.09798105
Ptr01,0.112233162
Ptr01,0.204777862
Ptr01,0.157950969
Ptr01,0.244147368
Ptr01,0.173126072
Ptr01,0.152312263
Ptr01,0.117065408
Ptr01,0.138287289
Ptr01,0.22395097
Ptr01,0.209831628
Ptr01,0.215056446
Ptr01,0.068313309
