Cluster,Vessel
Ptr01,0.151655143
Ptr01,0.196114441
Ptr01,0.210382617
Ptr01,0.250110577
Ptr01,0.161234764
Ptr01,0.215802657
Ptr01,0.18338668
Ptr01,0.258656818
Ptr01,0.259315956
Ptr01,0.223523334
Ptr01,0.274553165
Ptr01,0.242089053
Ptr01,0.302924256
Ptr01,0.26839466
Ptr01,0.16871925
Ptr01,0.173707472
Ptr01,0.166138086
Ptr01,0.222264707
Ptr01,0.177213259
Ptr01,0.268758951
Ptr01,0.244937805
Ptr01,0.231848565
Ptr01,0.215213904
Ptr01,0.230970645
Ptr01,0.183644066
Ptr01,0.253907174
Ptr01,0.263951162
Ptr01,0.132711564
Ptr01,0.205853859
Ptr01,0.346358926
Ptr01,0.220367487
Ptr01,0.259905899
Ptr01,0.230037833
Ptr01,0.269582993
Ptr01,0.197649992
Ptr01,0.161161692
Ptr01,0.255278811
Ptr01,0.316810151
Ptr01,0.237342766
Ptr01,0.195250592
Ptr01,0.201610152
Ptr01,0.280405659
Ptr01,0.237418756
Ptr01,0.251889889
Ptr01,0.243270519
Ptr01,0.147550403
Ptr01,0.189678492
Ptr01,0.271227918
Ptr01,0.243886102
Ptr01,0.44361222
Ptr01,0.229324347
Ptr01,0.227154109
Ptr01,0.221040978
Ptr01,0.151225774
Ptr01,0.128909618
Ptr01,0.257727654
Ptr01,0.187673297
Ptr01,0.132208396
Ptr01,0.133458896
Ptr01,0.219549108
Ptr01,0.173293639
Ptr01,0.164029245
Ptr01,0.301058533
Ptr01,0.132155271
Ptr01,0.15364089
Ptr01,0.272953486
Ptr01,0.198239129
Ptr01,0.188843229
Ptr01,0.197750639
Ptr01,0.189235948
Ptr01,0.193279209
Ptr01,0.201189492
Ptr01,0.161327669
Ptr01,0.214932577
Ptr01,0.269068233
Ptr01,0.239827976
Ptr01,0.234686333
Ptr01,0.297481347
Ptr01,0.27052917
Ptr01,0.18824893
Ptr01,0.217275764
Ptr01,0.134916775
Ptr01,0.174763913
Ptr01,0.249263095
Ptr01,0.224587097
Ptr01,0.212955251
Ptr01,0.242533193
Ptr01,0.212842886
Ptr01,0.194068432
Ptr01,0.195605971
Ptr01,0.184136449
Ptr01,0.290849053
Ptr01,0.192546382
Ptr01,0.366742329
Ptr01,0.225771239
Ptr01,0.138641025
Ptr01,0.257663288
Ptr01,0.203799955
Ptr01,0.197924185
Ptr01,0.260201667
Ptr01,0.180611584
Ptr01,0.254751546
Ptr01,0.242234353
Ptr01,0.170229423
Ptr01,0.196253943
Ptr01,0.233994105
Ptr01,0.230462044
Ptr01,0.249781319
Ptr01,0.244236549
Ptr01,0.139333281
Ptr01,0.158938882
Ptr01,0.230739239
Ptr01,0.24741322
Ptr01,0.312045574
Ptr01,0.195534956
Ptr01,0.187329465
Ptr01,0.173942135
Ptr01,0.145888648
Ptr01,0.294372198
Ptr01,0.238379629
Ptr01,0.248224365
Ptr01,0.101320905
Ptr01,0.333372458
Ptr01,0.185841967
Ptr01,0.201507124
Ptr01,0.220797088
Ptr01,0.227589088
Ptr01,0.254015342
Ptr01,0.220418465
Ptr01,0.189334454
Ptr01,0.218642174
Ptr01,0.204168061
Ptr01,0.191593805
Ptr01,0.228904566
Ptr01,0.251779557
Ptr01,0.23634363
Ptr01,0.120746395
Ptr01,0.222366765
Ptr01,0.15356543
Ptr01,0.300395067
Ptr01,0.170629351
Ptr01,0.147172034
Ptr01,0.168432255
Ptr01,0.20879672
Ptr01,0.228827089
Ptr01,0.209174686
Ptr01,0.139764291
Ptr01,0.338224274
Ptr01,0.235404685
Ptr01,0.317408294
Ptr01,0.17661898
Ptr01,0.203041054
Ptr01,0.262468274
Ptr01,0.250024442
Ptr01,0.261646852
Ptr01,0.299474666
Ptr01,0.133121524
Ptr01,0.229191255
Ptr01,0.174175349
Ptr01,0.224141439
Ptr01,0.235771829
Ptr01,0.205512186
Ptr01,0.271465653
Ptr01,0.223713423
Ptr01,0.220601307
Ptr01,0.244764284
Ptr01,0.20670139
Ptr01,0.202187645
Ptr01,0.33422342
Ptr01,0.202481315
Ptr01,0.184482257
Ptr01,0.179940021
Ptr01,0.26872415
Ptr01,0.194950182
Ptr01,0.240567502
Ptr01,0.142999241
Ptr01,0.189094301
Ptr01,0.211575722
Ptr01,0.23074676
Ptr01,0.215482967
Ptr01,0.127687217
Ptr01,0.265837386
Ptr01,0.194889377
Ptr01,0.162335687
Ptr01,0.229255639
Ptr01,0.345629639
Ptr01,0.190792712
Ptr01,0.184601152
Ptr01,0.23339469
Ptr01,0.208835551
Ptr01,0.272998221
Ptr01,0.175180291
Ptr01,0.257351332
Ptr01,0.216194659
Ptr01,0.184702493
Ptr01,0.251867757
Ptr01,0.205577047
Ptr01,0.28182473
Ptr01,0.206552862
Ptr01,0.282944597
Ptr01,0.263767654
Ptr01,0.213670304
Ptr01,0.200306876
Ptr01,0.215540029
Ptr01,0.264670584
Ptr01,0.234149403
Ptr01,0.258129073
Ptr01,0.268393371
Ptr01,0.154294189
Ptr01,0.249509055
Ptr01,0.267699198
Ptr01,0.197086706
Ptr01,0.324046752
Ptr01,0.343263713
Ptr01,0.249233239
Ptr01,0.25236939
Ptr01,0.308145537
Ptr01,0.197730063
Ptr01,0.199512643
Ptr01,0.226539888
Ptr01,0.275806325
Ptr01,0.245301678
Ptr01,0.188829689
Ptr01,0.198118626
Ptr01,0.247267489
Ptr01,0.296013089
Ptr01,0.156934831
Ptr01,0.277175293
Ptr01,0.202516941
Ptr01,0.298530108
Ptr01,0.227574773
Ptr01,0.235700725
Ptr01,0.221544854
Ptr01,0.205554043
Ptr01,0.194861476
Ptr01,0.183855563
Ptr01,0.238423782
Ptr01,0.286856622
Ptr01,0.220717978
Ptr01,0.238983835
Ptr01,0.250116388
Ptr01,0.237162675
